5,0,3,1520094166444,0
5,1,5,1520094168304,0
5,2,-1,1520094194944,0
5,0,-1,1520094239010,0
5,1,1,1520094240826,0

4783:11,03 12;24;42,True,None,NULL,false,Did Not Try,false,false,false,2.0,Seemed unable to pick up or drop cubes,Beckham Pope,

4783:19,03 14;19;11,True,None,NULL,false,Did Not Try,false,false,false,2.0,,claire,

24,3,5,1520106927278,0
    
31,0,-1,1520111381505,0
31,1,1,1520111383423,0
